15	11	E	-1.0139728251552261E7	134
emissionprobs	4	7	H3K4me2	0	0.9999258797310409
emissionprobs	4	7	H3K4me2	1	7.412026895916842E-5
emissionprobs	4	8	H3K4me3	0	0.9994807784630482
emissionprobs	4	8	H3K4me3	1	5.19221536951922E-4
emissionprobs	4	9	H3K9ac	0	0.9856782080894603
emissionprobs	4	9	H3K9ac	1	0.014321791910539627
emissionprobs	4	10	H4K20me1	0	0.9970123829928
emissionprobs	4	10	H4K20me1	1	0.0029876170072000055
emissionprobs	5	0	CTCF	0	0.5665530402214556
emissionprobs	5	0	CTCF	1	0.43344695977854436
emissionprobs	5	1	Control	0	0.11359220732332352
emissionprobs	5	1	Control	1	0.8864077926766765
emissionprobs	5	2	EZH2	0	0.4044834620090542
emissionprobs	5	2	EZH2	1	0.5955165379909458
emissionprobs	5	3	H2AZ	0	0.30929069765399847
emissionprobs	5	3	H2AZ	1	0.6907093023460015
emissionprobs	5	4	H3K27ac	0	0.5623008658763032
emissionprobs	5	4	H3K27ac	1	0.43769913412369676
emissionprobs	5	5	H3K36me3	0	0.3767558128398463
emissionprobs	5	5	H3K36me3	1	0.6232441871601536
emissionprobs	5	6	H3K4me1	0	0.6693622978823389
emissionprobs	5	6	H3K4me1	1	0.3306377021176611
emissionprobs	5	7	H3K4me2	0	0.8138036108564304
emissionprobs	5	7	H3K4me2	1	0.18619638914356965
emissionprobs	5	8	H3K4me3	0	0.3712467914626313
emissionprobs	5	8	H3K4me3	1	0.6287532085373687
emissionprobs	5	9	H3K9ac	0	0.6678169884223526
emissionprobs	5	9	H3K9ac	1	0.3321830115776474
emissionprobs	5	10	H4K20me1	0	0.5695619177186669
emissionprobs	5	10	H4K20me1	1	0.4304380822813331
emissionprobs	6	0	CTCF	0	0.9909913429104014
emissionprobs	6	0	CTCF	1	0.009008657089598618
emissionprobs	6	1	Control	0	0.9941858689523622
emissionprobs	6	1	Control	1	0.005814131047637839
emissionprobs	6	2	EZH2	0	0.9753153504684378
emissionprobs	6	2	EZH2	1	0.024684649531562238
emissionprobs	6	3	H2AZ	0	0.9997577425065579
emissionprobs	6	3	H2AZ	1	2.4225749344206367E-4
emissionprobs	6	4	H3K27ac	0	0.9900928955843539
emissionprobs	6	4	H3K27ac	1	0.009907104415646103
emissionprobs	6	5	H3K36me3	0	0.33416538192476186
emissionprobs	6	5	H3K36me3	1	0.665834618075238
emissionprobs	6	6	H3K4me1	0	0.9983313336817975
emissionprobs	6	6	H3K4me1	1	0.0016686663182025093
emissionprobs	6	7	H3K4me2	0	0.999770522195716
emissionprobs	6	7	H3K4me2	1	2.2947780428392634E-4
