15	11	E	-1.02790835634026E7	153
emissionprobs	1	10	H4K20me1	0	0.9134370702578637
emissionprobs	1	10	H4K20me1	1	0.08656292974213634
emissionprobs	2	0	CTCF	0	0.6511787472159831
emissionprobs	2	0	CTCF	1	0.3488212527840168
emissionprobs	2	1	Control	0	0.9253091742417975
emissionprobs	2	1	Control	1	0.07469082575820252
emissionprobs	2	2	EZH2	0	0.947024975510709
emissionprobs	2	2	EZH2	1	0.05297502448929095
emissionprobs	2	3	H2AZ	0	0.2237352827457146
emissionprobs	2	3	H2AZ	1	0.7762647172542855
emissionprobs	2	4	H3K27ac	0	0.07432104023742349
emissionprobs	2	4	H3K27ac	1	0.9256789597625765
emissionprobs	2	5	H3K36me3	0	0.9245950968536678
emissionprobs	2	5	H3K36me3	1	0.07540490314633216
emissionprobs	2	6	H3K4me1	0	0.01628126955543478
emissionprobs	2	6	H3K4me1	1	0.9837187304445653
emissionprobs	2	7	H3K4me2	0	0.01665697345617781
emissionprobs	2	7	H3K4me2	1	0.9833430265438222
emissionprobs	2	8	H3K4me3	0	0.09053647011712476
emissionprobs	2	8	H3K4me3	1	0.9094635298828753
emissionprobs	2	9	H3K9ac	0	0.028526388585128577
emissionprobs	2	9	H3K9ac	1	0.9714736114148713
emissionprobs	2	10	H4K20me1	0	0.9671376044631503
emissionprobs	2	10	H4K20me1	1	0.03286239553684954
emissionprobs	3	0	CTCF	0	0.7948717845172614
emissionprobs	3	0	CTCF	1	0.20512821548273874
emissionprobs	3	1	Control	0	0.9883186859064046
emissionprobs	3	1	Control	1	0.011681314093595394
emissionprobs	3	2	EZH2	0	0.8321761672827365
emissionprobs	3	2	EZH2	1	0.16782383271726353
emissionprobs	3	3	H2AZ	0	0.7869503893540871
emissionprobs	3	3	H2AZ	1	0.21304961064591288
emissionprobs	3	4	H3K27ac	0	0.9339865731964185
emissionprobs	3	4	H3K27ac	1	0.06601342680358151
emissionprobs	3	5	H3K36me3	0	0.9901708344756215
emissionprobs	3	5	H3K36me3	1	0.009829165524378484
emissionprobs	3	6	H3K4me1	0	0.4119303191778505
emissionprobs	3	6	H3K4me1	1	0.5880696808221495
emissionprobs	3	7	H3K4me2	0	0.4403425647842032
emissionprobs	3	7	H3K4me2	1	0.5596574352157968
emissionprobs	3	8	H3K4me3	0	0.7019084713696749
emissionprobs	3	8	H3K4me3	1	0.29809152863032506
emissionprobs	3	9	H3K9ac	0	0.6485836876403259
emissionprobs	3	9	H3K9ac	1	0.3514163123596741
emissionprobs	3	10	H4K20me1	0	0.937802393834528
emissionprobs	3	10	H4K20me1	1	0.06219760616547194
emissionprobs	4	0	CTCF	0	0.7871046236898106
emissionprobs	4	0	CTCF	1	0.2128953763101893
emissionprobs	4	1	Control	0	0.9495569694721114
emissionprobs	4	1	Control	1	0.0504430305278885
emissionprobs	4	2	EZH2	0	0.9947233876340719
emissionprobs	4	2	EZH2	1	0.005276612365928084
emissionprobs	4	3	H2AZ	0	0.9315243042450793
